Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cashmere-bed-socks,100% Cashmere Bed Socks,"<div dir=""ltr"">
<p style=""text-align: left;"">They say true comfort is one of life’s greatest pleasures. And our pure cashmere socks will be one of the most decadent gifts you ever treat your feet to! Created from the finest cashmere, these socks are designed to be durable and stand the test of the time.</p>
<ul>
<li>100% highest grade of Nepalese cashmere </li>
<li>One size fits all </li>
<li>All of our packaging is 100% bio-degradable and eco-friendly.</li>
</ul>
<p style=""text-align: start;""><em><br><br></em></p>
<div><br></div>
</div>",La Sororité,"",Socks,true,Color,DarkGray,,,,,"",500.0,shopify,0,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Socks_civer_image.jpg?v=1603280823,1,La Sororité - 100% Cashmere Bed Socks,false,100% Pure Cashmere Bed Socks for Women | La Sororité,"Treat your feet with a pair of comfortable bed socks made with 100% cashmere wool. Available in different colours, these socks are soft and fluffy to keep you warm throughout the night. Best Quality and Long Durability guaranteed! Comes in sustainable packaging straight from Nepal. Buy now at discounted price.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_sock.jpg?v=1603280823,kg,,,active
cashmere-bed-socks,,,,,,,,Light Gray,,,,,"",500.0,shopify,2,deny,manual,39.99,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_sock.jpg?v=1603280823,2,La Sororité - Dark Grey Pure Cashmere Sleep Socks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Purple_sock.jpg?v=1603280823,kg,,19.00,
cashmere-bed-socks,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Purple_sock.jpg?v=1603280823,3,La Sororité - Purple Pure Cashmere Sleep Socks,,,,,,,,,,,,,,,,,,,,,
the-andrea-jumper,The Andrea Jumper,"<div dir=""ltr"">
<div>
<div>
<div style=""text-align: center;"">The Andrea crew-neck cashmere jumper is a jumper you will always want to wear and no-one will forget. The devil is in the detail and we knew if we were going to re-design a classic, we had to do it well. Hand-made with the finest high-grade cashmere, to ensure the perfect fit; classic with a twist, we have added a splash of colour linkage to bring this favourite to life.</div>
</div>
</div>
</div>
<p style=""font-size: 14px; text-align: center;""><br><em>All of our packaging is 100% bio-degradable and sustainable.<br><br></em><span style=""color: #ad8d3e;""><a href=""https://www.lasororite.com/pages/size-guide"" style=""color: #ad8d3e;"">Size Guide</a></span><em><br><br></em></p>
<meta charset=""utf-8"">
<div style=""display: flex;"">
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;""><img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/951608-200_large.png?v=1559239726"" alt="""" width=""30"" height=""30""> 100% Highest grade of Nepalese Cashmere</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">            <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/hand_1078331_large.png?v=1559239933"" alt="""" width=""20"" height=""20"">  Made in our fair-trade factory in Nepal</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">       <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/img_448076_large.png?v=1559240003"" alt="""" width=""25"" height=""25"">  True to size (does not stretch easily)  <br></p>
</div>",La Sororité,"",Jumpers,true,Size,M,,,,,"",680.388555,shopify,1,deny,manual,235.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Charcole_with_pink3.jpg?v=1602106125,1,La Sororité - Black Andrea Jumper,false,The Andrea Jumper | Women's Round Neck Black Jumper | La Sororité,The Andrea Black Cashmere Jumper made with fine wool from Nepal would keep you warm in vogue. This crew neck knitwear has details to make it the perfect Christmas gift for women. Best Offer - Now in Sale! Find your size and buy right away.,,,,,,,,,,,,,,,lb,,175.00,active
the-andrea-jumper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_and_pink.jpg?v=1602106149,2,La Sororité - Black Andrea Jumper,,,,,,,,,,,,,,,,,,,,,
the-andrea-jumper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_and_pink_3.jpg?v=1602106167,3,La Sororité - Black Jumper with detail,,,,,,,,,,,,,,,,,,,,,
the-andrea-jumper,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_and_pink_4.jpg?v=1602106189,4,La Sororité - The Andrea Jumper,,,,,,,,,,,,,,,,,,,,,
the-v-neck-cropped-cashmere-jumper,The Charlotte Jumper,"<p><span style=""color: #9c8716;""><strong>PRE-ORDER NOW AND RECEIVE YOUR JUMPER IN TWO WEEKS.</strong></span></p>
<p>The Charlotte Cropped Cashmere V-neck Jumper is crafted <span data-mce-fragment=""1"">by hand using the finest high-grade Nepalese cashmere. This ultra-soft jumper has double the thickness and comes in a boxy fit. The v-neckline adds a graceful edge, making it the perfect transitional piece and ideal for layering over tailored separates. The burnt orange hue is guaranteed to compliment your wardrobe this fall. We recommend pairing with high-waisted jeans or trousers. </span></p>
<p>All of our packaging is 100% bio-degradable and eco-friendly.</p>
<p><meta charset=""UTF-8""><span style=""color: #9c8716;""><strong><span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;""><a style=""color: #9c8716; text-decoration: underline;"" href=""https://www.lasororite.com/pages/size-guide"">S</a>IZE<a style=""color: #9c8716; text-decoration: underline;"" href=""https://www.lasororite.com/pages/size-guide""> G</a>UIDE</span></strong></span></p>",La Sororité,"",Jumpers,true,Size,XS,Color,Cherry Blossom,,,"",0.0,shopify,5,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_fcdc9d85-aec2-4ad3-99bc-d0d25de5da78.jpg?v=1602438920,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_9e36bc40-5c5c-4396-b74d-57ee856ee7a4.jpg?v=1604962614,lb,,,active
the-v-neck-cropped-cashmere-jumper,,,,,,,,S,,Cherry Blossom,,,"",0.0,shopify,5,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_9e36bc40-5c5c-4396-b74d-57ee856ee7a4.jpg?v=1604962614,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_9e36bc40-5c5c-4396-b74d-57ee856ee7a4.jpg?v=1604962614,lb,,,
the-v-neck-cropped-cashmere-jumper,,,,,,,,M,,Cherry Blossom,,,"",0.0,shopify,5,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image.png?v=1604962614,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_9e36bc40-5c5c-4396-b74d-57ee856ee7a4.jpg?v=1604962614,lb,,,
